Negative_words,Frequency
struggling,4
greetings,4
reembolseme,4
much,110
inconvenience,8
hate,80
android,58
keep,66
cannot,94
gets,38
stay,64
want,132
give,96
star,40
opened,26
screws,18
missing,72
along,16
connector,14
clip,14
antenna,16
miss,16
placed,18
result,22
little,142
ability,12
hidden,8
damage,56
settings,26
set,30
rarely,4
makes,34
disspointment,4
giving,18
sometimes,102
boots,4
risking,4
registered,12
someone,76
else,46
changed,30
bahamas,2
pissed,12
phoneis,2
worthless,16
needed,54
frame,4
prime,8
item,94
functional,20
acceptable,6
cosmetic,6
appearance,8
expectations,26
low,46
upon,18
receipt,8
filthy,8
built,8
grime,2
crevices,2
yellow,10
discoloration,2
likely,14
noticed,42
frequently,8
mic,14
draining,8
quickly,34
pick,10
deal,30
complete,28
lemon,6
may,62
good,158
you're,12
rolling,2
dice,2
numbers,16
hated,6
couldn't,108
afford,14
change,80
different,48
smart,20
husband,32
convinced,4
dumb,4
upset,30
piece,46
junk,38
first,112
rival,2
brand,54
ones,26
clean,18
unfortunately,40
esn,8
marked,4
stolenlost,2
current,8
serious,16
predictable,2
interruptions,2
music,44
acting,2
thought,54
error,8
scared,6
hell,6
electrical,2
shock,6
type,18
noise,6
thatdue,2
recent,6
story's,2
electrocution,2
avoided,2
plague,2
death,6
throws,2
able,48
headphones,38
begged,2
repairtwo,2
late,152
died,40
intermittently,2
resurrecting,2
choice,14
sooooo,2
gave,74
himby,2
help,50
rude,8
comments,6
polite,2
bringing,2
attention,2
expected,212
overall,46
limited,4
memory,28
next,42
impossible,28
add,14
additional,14
-,150
seem,18
translated,4
english,22
translator,4
sense,4
almost,80
insert,16
illustration,4
tell,42
disappear,4
housing,10
take,106
apart,10
guess,36
recommended,8
sad,34
cousin,4
notice,14
toke,4
imei,38
match,26
boxi,4
e-mail,8
care,44
problemi,4
he's,6
unprofessionalwe,4
extremely,70
answering,12
accusing,4
changing,18
indirectlynot,4
happy,16
early,16
act,8
shut,50
say,102
lastly--it,8
texts,50
asap,12
become,14
difficult,48
release,4
venezuela,28
line,28
provide,16
16,12
digit,2
#,8
paperwork,2
timely,6
manner,2
slip,2
info,12
reason,46
unsatisfied,6
appreciated,2
unnecessary,4
definitely,46
greatness,2
garbage,24
recalled,6
thru,8
recall,8
pocket,32
wait,34
shipping,46
incredibly,6
wary,10
gonna,12
wanna,10
fix,70
mailing,6
forth,8
idea,10
obligate,8
indicate,24
80%,12
minute,8
30%,16
talking,22
understand,36
saying,34
normally,16
require,6
sims,10
cards,24
receives,8
callstext,2
area,2
updated,12
jamaica,4
july,14
august,8
freeze,10
done,18
vender,2
outdated,12
accept,16
updates,8
trading,4
son,68
trade,8
desperately,12
unfuntional-,8
stand,12
says,70
website,16
internally,14
doesn`t,8
selling,30
listened,6
everyone,12
hour,54
blocked,22
basically,24
ipod,8
impression,4
factory,94
tmobile,16
meso,2
64gb,6
$150,8
email,28
joshuaralphpearce@,2
g,10
l,4
run,28
claim,36
decent,26
functions,16
closes,4
locks,6
push,16
buttons,44
that's,32
major,6
happen,20
wish,30
leave,14
negative,24
stars,78
despite,30
powered,8
experience,62
turning,28
anymore,36
window,22
ceased,6
microphone,30
nor,24
headphone,10
jack,18
primero,4
lo,10
evalue,4
bien,4
luego,4
el,22
telefono,8
empezo,4
fallar,4
quedaba,4
paralizado,4
boton,4
de,36
comando,4
dejo,4
funcionar,4
para,12
mi,8
sorpresa,4
la,6
informa,4
que,28
ya,6
habia,4
sido,4
reparado,4
